ticker,company_name,sector,cik,year,document_type,filing_date,report_date,accession_number,primary_document,filing_url,metadata_status
MSFT,Microsoft,Technology,0000789019,2024.0,DEF 14A,2024-10-24,2024-12-10,0001193125-24-242883,d858775ddef14a.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312524242883/d858775ddef14a.htm,found
MSFT,Microsoft,Technology,0000789019,2023.0,DEF 14A,2023-10-19,2023-12-07,0001193125-23-259247,d356108ddef14a.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312523259247/d356108ddef14a.htm,found
MSFT,Microsoft,Technology,0000789019,2022.0,DEF 14A,2022-10-27,2022-12-13,0001193125-22-270484,d318171ddef14a.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312522270484/d318171ddef14a.htm,found
MSFT,Microsoft,Technology,0000789019,2021.0,DEF 14A,2021-10-14,2021-11-30,0001193125-21-298757,d189481ddef14a.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312521298757/d189481ddef14a.htm,found
MSFT,Microsoft,Technology,0000789019,2020.0,DEF 14A,2020-10-19,2020-12-02,0001193125-20-272025,d31295ddef14a.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312520272025/d31295ddef14a.htm,found
AAPL,Apple,Technology,0000320193,2024.0,DEF 14A,2024-01-11,2024-02-28,0001308179-24-000010,laapl2024_def14a.htm,https://www.sec.gov/Archives/edgar/data/320193/000130817924000010/laapl2024_def14a.htm,found
AAPL,Apple,Technology,0000320193,2023.0,DEF 14A,2023-01-12,2023-03-10,0001308179-23-000019,laap2023_def14a.htm,https://www.sec.gov/Archives/edgar/data/320193/000130817923000019/laap2023_def14a.htm,found
AAPL,Apple,Technology,0000320193,2022.0,DEF 14A,2022-01-06,2022-03-04,0001193125-22-003583,d222670ddef14a.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312522003583/d222670ddef14a.htm,found
AAPL,Apple,Technology,0000320193,2021.0,DEF 14A,2021-01-05,2021-02-23,0001193125-21-001987,d767770ddef14a.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312521001987/d767770ddef14a.htm,found
AAPL,Apple,Technology,0000320193,2020.0,DEF 14A,2020-01-03,2020-02-26,0001193125-20-001450,d799303ddef14a.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312520001450/d799303ddef14a.htm,found
AAPL,Apple,Technology,0000320193,2019.0,DEF 14A,2019-01-08,2019-03-01,0001193125-19-004664,d667873ddef14a.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312519004664/d667873ddef14a.htm,found
AAPL,Apple,Technology,0000320193,2017.0,DEF 14A,2017-12-27,2018-02-13,0001193125-17-380130,d400278ddef14a.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312517380130/d400278ddef14a.htm,found
AAPL,Apple,Technology,0000320193,2017.0,DEF 14A,2017-01-06,2017-02-28,0001193125-17-003753,d257185ddef14a.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312517003753/d257185ddef14a.htm,found
AAPL,Apple,Technology,0000320193,2016.0,DEF 14A,2016-01-06,2016-02-26,0001193125-16-422528,d79474ddef14a.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312516422528/d79474ddef14a.htm,found
NVDA,NVIDIA,Technology,0001045810,2024.0,DEF 14A,2024-05-14,2024-06-26,0001045810-24-000104,nvda-20240514.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000104/nvda-20240514.htm,found
NVDA,NVIDIA,Technology,0001045810,2023.0,DEF 14A,2023-05-08,,0001045810-23-000080,nvda-20230508.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000080/nvda-20230508.htm,found
NVDA,NVIDIA,Technology,0001045810,2022.0,DEF 14A,2022-04-19,2022-06-02,0001045810-22-000068,noticeof2022annualmeeting.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000068/noticeof2022annualmeeting.htm,found
NVDA,NVIDIA,Technology,0001045810,2022.0,DEF 14A,2022-04-19,2022-06-02,0001045810-22-000067,nvda2022definitiveproxysta.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000067/nvda2022definitiveproxysta.htm,found
NVDA,NVIDIA,Technology,0001045810,2021.0,DEF 14A,2021-04-23,2021-04-23,0001045810-21-000052,nvda2021definitiveproxysta.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000052/nvda2021definitiveproxysta.htm,found
NVDA,NVIDIA,Technology,0001045810,2020.0,DEF 14A,2020-04-29,2020-06-09,0001045810-20-000055,nvda2020definitiveproxysta.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000055/nvda2020definitiveproxysta.htm,found
GOOGL,Alphabet,Technology,0001652044,2024.0,DEF 14A,2024-04-26,2024-06-07,0001308179-24-000612,lgoog2024_def14a.htm,https://www.sec.gov/Archives/edgar/data/1652044/000130817924000612/lgoog2024_def14a.htm,found
GOOGL,Alphabet,Technology,0001652044,2023.0,DEF 14A,2023-04-21,,0001308179-23-000736,lgoog2023_def14a.htm,https://www.sec.gov/Archives/edgar/data/1652044/000130817923000736/lgoog2023_def14a.htm,found
META,Meta Platforms,Technology,0001326801,,DEF 14A,,,,,,no_def14a_found
AVGO,Broadcom,Technology,0001730168,2024.0,DEF 14A,2024-02-26,2024-04-22,0001140361-24-009541,ny20015852x1_def14a.htm,https://www.sec.gov/Archives/edgar/data/1730168/000114036124009541/ny20015852x1_def14a.htm,found
AVGO,Broadcom,Technology,0001730168,2023.0,DEF 14A,2023-02-17,2023-04-03,0001140361-23-007640,ny20006245x500_def14a.htm,https://www.sec.gov/Archives/edgar/data/1730168/000114036123007640/ny20006245x500_def14a.htm,found
AVGO,Broadcom,Technology,0001730168,2022.0,DEF 14A,2022-02-18,2021-10-31,0001730168-22-000012,a2022proxystatement.htm,https://www.sec.gov/Archives/edgar/data/1730168/000173016822000012/a2022proxystatement.htm,found
AVGO,Broadcom,Technology,0001730168,2021.0,DEF 14A,2021-02-19,2020-11-01,0001730168-21-000017,a2021proxystatement.htm,https://www.sec.gov/Archives/edgar/data/1730168/000173016821000017/a2021proxystatement.htm,found
